Entity,Year,Annual CO2 Emissions from Oil,Annual CO2 Emissions from Coal,Annual CO2 Emissions from Cement,Annual CO2 Emissions from Gas,Annual CO2 Emissions from Flaring,Annual CO2 Emissions from Other Industries,Electricity_Generation,Coal,Gas,Hydro,Solar,Wind,Oil,Nuclear,Other renewables,Bioenergy,sector,sub_sector,number_of_electricity_accounts,sector_ng,sub_sector_ng,ng_consumption_tj
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Commerce and Service-related,Financial and Insurance Activities,250.3
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Commerce and Service-related,Real Estate Activities,74.8
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Commerce and Service-related,"Professional, Scientific & Technical, Administration & Support Activities",101.9
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Commerce and Service-related,Other Commerce and Service-related,445.8
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Transport-related (49-53),Transport-related,574.9
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Households,Households,2262.9
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Others (00),Others,34.7
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Industrial-related,Manufacturing,29960.9
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Industrial-related,Construction,132.2
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Industrial-related,Utilities,320.3
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Industrial-related,Other Industrial-related,0.0
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Commerce and Service-related,Wholesale and Retail Trade,116.7
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Commerce and Service-related,Accommodation and Food Services,2060.9
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Commerce and Service-related,Information and Communications,0.0
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Commerce and Service-related,Financial and Insurance Activities,250.3
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,106960,Commerce and Service-related,Real Estate Activities,74.8
