year,sector,sub_sector,number_of_electricity_accounts
2019,Overall,Overall,1654060
2019,Transport-Related,Transport-related,3990
2020,Commerce and Services-related,Accommodation and Food Services,14070
2020,Commerce and Services-related,Commerce and Services-related,131320
2020,Commerce and Services-related,Financial and Insurance Activities,4830
2020,Commerce and Services-related,Information and Communications,11150
2020,Commerce and Services-related,Other Commerce and Services-related,30590
2020,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",13380
2020,Commerce and Services-related,Real Estate Activities,22160
2020,Commerce and Services-related,Wholesale and Retail Trade,35130
2020,Households,Households,1488950
2020,Industrial-related,Construction,13240
2020,Industrial-related,Industrial-related,30260
2020,Industrial-related,Manufacturing,14520
2020,Industrial-related,Other Industrial-related,880
2020,Industrial-related,Utilities,1630
2020,Others,Others,13880
2020,Overall,Overall,1668510
2020,Transport-Related,Transport-related,4110
2021,Commerce and Services-related,Accommodation and Food Services,14140
2021,Commerce and Services-related,Commerce and Services-related,131070
2021,Commerce and Services-related,Financial and Insurance Activities,4820
2021,Commerce and Services-related,Information and Communications,10300
2021,Commerce and Services-related,Other Commerce and Services-related,31270
2021,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",13230
2021,Commerce and Services-related,Real Estate Activities,22080
2021,Commerce and Services-related,Wholesale and Retail Trade,35230
2021,Households,Households,1498580
2021,Industrial-related,Construction,13540
2021,Industrial-related,Industrial-related,30840
2021,Industrial-related,Manufacturing,14680
2021,Industrial-related,Other Industrial-related,900
2021,Industrial-related,Utilities,1720
2021,Others,Others,13980
2021,Overall,Overall,1678920
2021,Transport-Related,Transport-related,4450
